bam_file	index	chrom	start	end	strand	max_coverage
sample	9	chr21	.	44769506	44769509	5
sample	11	chr21	.	44771085	44771110	5
sample	12	chr21	.	44771135	44771140	5
sample	4	chr21	.	43774171	43774311	10
sample	2	chr21	.	43774007	43774144	11
sample	5	chr21	.	43774314	43774330	7
sample	7	chr21	.	43803967	43804059	7
sample	14	chr21	.	44805922	44805926	5
sample	15	chr21	.	44805935	44805955	5
sample	10	chr21	.	44771075	44771084	5
sample	22	chr21	.	46445489	46445547	5
sample	6	chr21	.	43774657	43774743	7
sample	19	chr21	.	46287051	46287060	5
sample	20	chr21	.	46296185	46296186	5
sample	0	chr21	.	42911568	42911645	7
sample	21	chr21	.	46297538	46297558	5
