bam_file	index	chrom	strand	start	end	max_coverage
sample	2	chr21	.	14500621	14500643	6
sample	4	chr21	.	17598627	17598630	5
sample	0	chr21	.	25562832	25562859	5
sample	10	chr21	.	25574693	25574694	5
sample	1	chr21	.	25563107	25563119	5
sample	6	chr21	.	25574170	25574176	5
sample	5	chr21	.	25563620	25563723	8
sample	11	chr21	.	25574699	25574816	10
sample	7	chr21	.	25574197	25574271	7
sample	12	chr21	.	25574825	25574828	5
sample	13	chr21	.	25574829	25574861	6
sample	15	chr21	.	25579376	25579477	7
sample	16	chr21	.	25592842	25592861	5
sample	24	chr21	.	25606538	25606545	6
sample	22	chr21	.	25601367	25601394	5
sample	17	chr21	.	25592878	25592906	5
sample	20	chr21	.	25599807	25599811	5
sample	18	chr21	.	25593899	25593958	6
sample	19	chr21	.	25597301	25597342	7
sample	23	chr21	.	25606448	25606504	5
sample	26	chr21	.	25724530	25724631	7
sample	21	chr21	.	25599820	25599866	6
sample	33	chr21	.	29005930	29005957	5
sample	30	chr21	.	25771966	25771979	5
sample	31	chr21	.	25772201	25772272	6
sample	25	chr21	.	25606546	25606639	6
sample	36	chr21	.	29034836	29034875	5
sample	35	chr21	.	29027875	29027878	5
sample	27	chr21	.	25725272	25725350	10
sample	40	chr21	.	29056426	29056427	5
sample	38	chr21	.	29053907	29053945	5
sample	37	chr21	.	29053888	29053890	5
sample	41	chr21	.	29056469	29056474	5
sample	28	chr21	.	25729630	25729787	13
sample	44	chr21	.	29061349	29061351	5
sample	34	chr21	.	29008304	29008307	5
sample	51	chr21	.	29063479	29063530	6
sample	50	chr21	.	29063351	29063398	7
sample	48	chr21	.	29062413	29062415	5
sample	43	chr21	.	29061252	29061275	6
sample	45	chr21	.	29061376	29061417	7
sample	52	chr21	.	29064967	29065002	7
sample	53	chr21	.	29065003	29065016	5
sample	47	chr21	.	29062127	29062167	7
sample	56	chr21	.	29066985	29067034	7
sample	42	chr21	.	29060616	29060660	6
sample	46	chr21	.	29061495	29061567	10
sample	49	chr21	.	29062489	29062556	9
sample	57	chr21	.	29067670	29067705	6
sample	59	chr21	.	29073542	29073601	6
sample	58	chr21	.	29069422	29069448	6
sample	54	chr21	.	29065092	29065104	5
sample	55	chr21	.	29066718	29066766	6
sample	0	chr21	.	31659780	31659802	5
sample	10	chr21	.	32737309	32737356	6
sample	5	chr21	.	32601748	32601776	5
sample	4	chr21	.	32270421	32270423	5
sample	9	chr21	.	32734167	32734170	5
sample	7	chr21	.	32601965	32601969	5
sample	3	chr21	.	32269727	32269789	7
sample	1	chr21	.	31663810	31663821	5
sample	8	chr21	.	32602271	32602314	5
sample	12	chr21	.	32758478	32758571	6
sample	15	chr21	.	33276630	33276639	5
sample	17	chr21	.	33341027	33341028	5
sample	6	chr21	.	32601816	32601925	7
sample	16	chr21	.	33276647	33276658	5
sample	18	chr21	.	33353746	33353773	5
sample	19	chr21	.	33353777	33353783	5
sample	20	chr21	.	33355315	33355321	5
sample	23	chr21	.	33504500	33504504	5
sample	22	chr21	.	33460416	33460438	5
sample	27	chr21	.	33543101	33543169	12
sample	28	chr21	.	33546212	33546272	11
sample	30	chr21	.	33546336	33546379	6
sample	31	chr21	.	33549475	33549521	6
sample	0	chr21	.	33576927	33576986	6
sample	1	chr21	.	33576990	33577006	5
sample	9	chr21	.	33907450	33907453	5
sample	6	chr21	.	33907346	33907357	5
sample	5	chr21	.	33903967	33903985	5
sample	4	chr21	.	33903507	33903631	10
sample	11	chr21	.	33912288	33912377	9
sample	7	chr21	.	33907366	33907387	6
sample	13	chr21	.	34125438	34125445	5
sample	8	chr21	.	33907427	33907447	6
sample	14	chr21	.	34142860	34143003	7
sample	12	chr21	.	33914480	33914481	5
sample	10	chr21	.	33909081	33909211	9
sample	1	chr21	.	37065563	37065570	5
sample	11	chr21	.	37514954	37514955	5
sample	7	chr21	.	37152957	37152963	5
sample	9	chr21	.	37166565	37166593	5
sample	2	chr21	.	37067314	37067318	5
sample	8	chr21	.	37162003	37162027	5
sample	0	chr21	.	37065474	37065478	5
sample	4	chr21	.	37077131	37077155	5
sample	10	chr21	.	37202817	37202860	5
sample	3	chr21	.	37072525	37072537	6
sample	14	chr21	.	39342513	39342515	5
sample	15	chr21	.	39342523	39342526	5
sample	23	chr21	.	39397323	39397336	5
sample	12	chr21	.	39175559	39175580	6
sample	16	chr21	.	39342553	39342598	6
sample	22	chr21	.	39397304	39397306	5
sample	21	chr21	.	39390805	39390825	5
sample	20	chr21	.	39348544	39348565	6
sample	24	chr21	.	39397360	39397424	8
sample	18	chr21	.	39348291	39348339	7
sample	19	chr21	.	39348421	39348451	6
sample	17	chr21	.	39345213	39345274	6
sample	10	chr21	.	44771075	44771084	5
sample	11	chr21	.	44771085	44771110	5
sample	5	chr21	.	43774314	43774330	7
sample	9	chr21	.	44769506	44769509	5
sample	2	chr21	.	43774007	43774144	11
sample	7	chr21	.	43803967	43804059	7
sample	15	chr21	.	44805935	44805955	5
sample	4	chr21	.	43774171	43774311	10
sample	12	chr21	.	44771135	44771140	5
sample	14	chr21	.	44805922	44805926	5
sample	6	chr21	.	43774657	43774743	7
sample	22	chr21	.	46445489	46445547	5
sample	0	chr21	.	42911568	42911645	7
sample	19	chr21	.	46287051	46287060	5
sample	21	chr21	.	46297538	46297558	5
sample	20	chr21	.	46296185	46296186	5
